Frequency (Hz),FFT Magnitude (dB)
1022.46,-71.766
1023.44,-72.859
1024.41,-72.735
1025.39,-73.557
1026.37,-72.377
1027.34,-71.892
1028.32,-72.390
1029.30,-72.367
1030.27,-73.112
1031.25,-72.710
1032.23,-72.594
1033.20,-72.391
1034.18,-73.362
1035.16,-72.934
1036.13,-73.375
1037.11,-72.705
1038.09,-71.847
1039.06,-72.527
1040.04,-72.040
1041.02,-71.552
1041.99,-71.083
1042.97,-72.358
1043.95,-72.094
1044.92,-72.282
1045.90,-71.781
1046.88,-71.818
1047.85,-72.008
1048.83,-72.030
1049.80,-72.772
1050.78,-72.305
1051.76,-70.984
1052.73,-70.655
1053.71,-70.733
1054.69,-71.841
1055.66,-71.210
1056.64,-71.211
1057.62,-71.551
1058.59,-72.090
1059.57,-71.420
1060.55,-70.912
1061.52,-70.450
1062.50,-71.042
1063.48,-70.204
1064.45,-69.482
1065.43,-69.680
1066.41,-70.187
1067.38,-70.509
1068.36,-71.645
1069.34,-69.988
1070.31,-71.124
1071.29,-70.808
1072.27,-70.052
1073.24,-69.855
1074.22,-71.590
1075.20,-70.502
1076.17,-71.543
1077.15,-71.509
1078.12,-69.424
1079.10,-70.281
1080.08,-70.499
1081.05,-69.680
1082.03,-68.798
1083.01,-69.812
1083.98,-69.616
1084.96,-69.082
1085.94,-70.380
1086.91,-67.752
1087.89,-69.002
1088.87,-69.307
1089.84,-68.092
1090.82,-68.587
1091.80,-68.821
1092.77,-68.854
1093.75,-69.550
1094.73,-69.445
1095.70,-67.952
1096.68,-69.304
1097.66,-68.367
1098.63,-68.432
1099.61,-68.261
1100.59,-67.813
1101.56,-68.533
1102.54,-67.711
1103.52,-68.513
1104.49,-67.871
1105.47,-67.380
1106.45,-66.848
1107.42,-67.524
1108.40,-67.305
1109.38,-68.015
1110.35,-67.971
1111.33,-67.953
1112.30,-67.867
1113.28,-67.750
1114.26,-67.620
1115.23,-67.193
1116.21,-66.895
1117.19,-68.073
1118.16,-67.717
1119.14,-67.253
1120.12,-66.399
1121.09,-66.297
1122.07,-66.215
1123.05,-66.199
1124.02,-66.528
1125.00,-67.176
1125.98,-67.336
1126.95,-66.781
1127.93,-66.910
1128.91,-66.591
1129.88,-66.111
1130.86,-64.313
1131.84,-66.599
1132.81,-67.082
1133.79,-65.765
1134.77,-65.387
1135.74,-66.194
1136.72,-65.030
1137.70,-65.221
1138.67,-65.989
1139.65,-65.840
1140.62,-66.063
1141.60,-64.645
1142.58,-64.547
1143.55,-64.620
1144.53,-64.603
1145.51,-65.105
1146.48,-65.150
1147.46,-64.158
1148.44,-64.041
1149.41,-64.163
1150.39,-63.628
1151.37,-64.365
1152.34,-64.200
1153.32,-64.092
1154.30,-62.527
1155.27,-62.995
1156.25,-63.712
1157.23,-63.504
1158.20,-63.450
1159.18,-63.930
1160.16,-62.856
1161.13,-63.251
1162.11,-62.916
1163.09,-62.296
1164.06,-61.961
1165.04,-62.139
1166.02,-61.941
1166.99,-61.334
1167.97,-61.000
1168.95,-62.233
1169.92,-60.602
1170.90,-61.199
1171.88,-60.638
1172.85,-60.687
1173.83,-59.417
1174.80,-59.145
1175.78,-59.775
1176.76,-60.257
1177.73,-59.062
1178.71,-59.263
1179.69,-58.840
1180.66,-58.909
1181.64,-59.300
1182.62,-58.212
1183.59,-59.294
1184.57,-58.480
1185.55,-58.627
1186.52,-59.111
1187.50,-58.222
1188.48,-57.861
1189.45,-57.437
1190.43,-57.375
1191.41,-59.094
1192.38,-58.015
1193.36,-57.249
1194.34,-57.612
1195.31,-57.039
1196.29,-57.800
1197.27,-57.631
1198.24,-56.526
1199.22,-56.927
1200.20,-56.769
1201.17,-56.615
1202.15,-56.285
1203.12,-56.870
1204.10,-56.983
1205.08,-56.356
1206.05,-56.272
1207.03,-57.287
1208.01,-55.534
1208.98,-57.089
1209.96,-55.846
1210.94,-55.324
1211.91,-56.947
1212.89,-57.015
1213.87,-57.931
1214.84,-57.223
1215.82,-56.781
1216.80,-57.463
1217.77,-57.523
1218.75,-56.956
1219.73,-58.864
1220.70,-57.859
1221.68,-57.956
1222.66,-58.558
1223.63,-58.021
1224.61,-57.219
1225.59,-59.229
1226.56,-58.208
1227.54,-58.691
1228.52,-58.092
1229.49,-58.682
1230.47,-59.098
1231.45,-59.191
1232.42,-58.754
1233.40,-59.813
1234.38,-59.842
1235.35,-58.611
1236.33,-60.787
1237.30,-60.729
1238.28,-59.922
1239.26,-60.595
1240.23,-60.064
1241.21,-61.681
1242.19,-61.484
1243.16,-62.070
1244.14,-61.966
1245.12,-61.352
1246.09,-62.267
1247.07,-61.656
1248.05,-61.478
1249.02,-61.268
1250.00,-60.675
1250.98,-61.955
1251.95,-63.140
1252.93,-62.702
1253.91,-62.503
1254.88,-62.623
1255.86,-62.492
1256.84,-62.647
1257.81,-64.115
1258.79,-64.135
1259.77,-62.547
1260.74,-63.093
1261.72,-64.429
1262.70,-63.480
1263.67,-64.682
1264.65,-65.013
