Frequency (Hz),FFT Magnitude (dB)
691.41,-70.909
692.38,-71.262
693.36,-70.975
694.34,-70.920
695.31,-70.432
696.29,-70.631
697.27,-71.361
698.24,-70.679
699.22,-70.537
700.20,-69.262
701.17,-70.029
702.15,-69.818
703.12,-70.505
704.10,-70.335
705.08,-69.715
706.05,-69.296
707.03,-67.999
708.01,-69.470
708.98,-68.930
709.96,-69.048
710.94,-68.592
711.91,-68.900
712.89,-69.047
713.87,-68.777
714.84,-69.327
715.82,-69.103
716.80,-68.381
717.77,-68.371
718.75,-68.347
719.73,-67.691
720.70,-69.133
721.68,-68.063
722.66,-67.378
723.63,-67.668
724.61,-67.249
725.59,-67.714
726.56,-68.589
727.54,-67.791
728.52,-67.431
729.49,-68.742
730.47,-68.155
731.45,-66.976
732.42,-68.462
733.40,-64.929
734.38,-65.379
735.35,-66.412
736.33,-67.377
737.30,-66.460
738.28,-65.638
739.26,-67.072
740.23,-66.410
741.21,-64.739
742.19,-65.365
743.16,-66.429
744.14,-65.484
745.12,-65.260
746.09,-65.710
747.07,-65.130
748.05,-64.769
749.02,-63.752
750.00,-64.807
750.98,-64.145
751.95,-64.639
752.93,-63.984
753.91,-64.928
754.88,-64.595
755.86,-64.318
756.84,-64.039
757.81,-63.848
758.79,-63.104
759.77,-62.273
760.74,-63.895
761.72,-63.200
762.70,-62.923
763.67,-63.422
764.65,-61.874
765.62,-62.299
766.60,-62.495
767.58,-62.291
768.55,-63.526
769.53,-62.129
770.51,-61.049
771.48,-61.311
772.46,-61.799
773.44,-61.296
774.41,-61.473
775.39,-61.009
776.37,-61.463
777.34,-61.127
778.32,-62.463
779.30,-60.856
780.27,-61.045
781.25,-61.986
782.23,-61.805
783.20,-61.943
784.18,-60.759
785.16,-60.572
786.13,-62.419
787.11,-61.404
788.09,-60.277
789.06,-61.679
790.04,-61.021
791.02,-61.266
791.99,-60.880
792.97,-59.860
793.95,-61.004
794.92,-59.514
795.90,-60.189
796.88,-60.757
797.85,-59.653
798.83,-58.956
799.80,-50.814
800.78,-54.387
801.76,-59.227
802.73,-58.825
803.71,-61.199
804.69,-60.599
805.66,-61.158
806.64,-60.565
807.62,-60.577
808.59,-60.782
809.57,-63.425
810.55,-61.129
811.52,-61.818
812.50,-61.937
813.48,-62.763
814.45,-63.500
815.43,-63.553
816.41,-62.113
817.38,-62.072
818.36,-61.845
819.34,-61.977
820.31,-62.095
821.29,-60.800
822.27,-63.777
823.24,-62.955
824.22,-63.587
825.20,-62.859
826.17,-63.345
827.15,-63.940
828.12,-64.289
829.10,-64.258
830.08,-65.016
831.05,-63.777
832.03,-64.327
833.01,-64.019
833.98,-63.724
834.96,-64.688
835.94,-65.185
836.91,-64.688
837.89,-66.731
838.87,-66.897
839.84,-65.509
840.82,-65.814
841.80,-65.352
842.77,-66.023
843.75,-64.764
844.73,-65.719
845.70,-65.863
846.68,-65.740
847.66,-66.181
848.63,-66.407
849.61,-66.800
850.59,-67.066
851.56,-66.407
852.54,-66.930
853.52,-64.844
854.49,-66.487
855.47,-68.057
856.45,-67.722
857.42,-67.414
858.40,-67.589
859.38,-67.583
860.35,-66.697
861.33,-66.651
862.30,-67.063
863.28,-67.712
864.26,-68.059
865.23,-68.351
866.21,-68.616
867.19,-68.712
868.16,-67.462
869.14,-67.773
870.12,-68.532
871.09,-68.859
872.07,-67.864
873.05,-69.352
874.02,-69.774
875.00,-69.130
875.98,-68.818
876.95,-68.069
877.93,-69.366
878.91,-68.454
879.88,-69.079
880.86,-69.962
881.84,-70.651
882.81,-70.052
883.79,-69.476
884.77,-69.804
885.74,-69.822
886.72,-69.391
887.70,-70.438
888.67,-68.705
889.65,-70.482
890.62,-70.598
891.60,-70.632
892.58,-70.502
893.55,-70.287
894.53,-70.083
895.51,-69.663
896.48,-70.148
897.46,-70.822
898.44,-70.599
899.41,-70.360
900.39,-70.046
901.37,-70.840
902.34,-71.524
903.32,-71.132
904.30,-71.297
905.27,-71.172
906.25,-70.903
907.23,-72.170
908.20,-70.992
909.18,-69.926
910.16,-71.466
911.13,-71.096
912.11,-71.365
913.09,-71.246
914.06,-71.180
915.04,-72.122
916.02,-70.891
916.99,-71.371
917.97,-71.623
918.95,-71.849
919.92,-70.111
920.90,-70.763
921.88,-72.149
922.85,-71.289
923.83,-71.809
924.80,-71.983
925.78,-70.997
926.76,-71.651
927.73,-71.719
928.71,-71.448
929.69,-72.542
930.66,-71.734
931.64,-71.666
932.62,-72.244
933.59,-72.015
934.57,-72.697
935.55,-72.653
936.52,-72.834
937.50,-73.638
938.48,-72.957
939.45,-72.407
940.43,-72.770
941.41,-72.137
942.38,-72.972
943.36,-73.032
944.34,-72.689
945.31,-73.706
946.29,-73.271
947.27,-72.317
948.24,-73.866
949.22,-73.609
950.20,-73.370
951.17,-72.985
952.15,-73.274
953.12,-73.502
954.10,-73.331
955.08,-73.316
956.05,-73.048
957.03,-73.608
958.01,-73.156
958.98,-73.508
959.96,-73.688
960.94,-73.839
961.91,-73.989
962.89,-72.186
963.87,-73.976
964.84,-73.198
965.82,-73.866
966.80,-74.544
967.77,-73.348
968.75,-74.180
969.73,-73.081
970.70,-74.026
971.68,-74.147
972.66,-74.603
973.63,-74.618
974.61,-75.474
975.59,-74.982
976.56,-75.579
977.54,-74.863
978.52,-75.100
979.49,-73.672
980.47,-74.646
981.45,-73.813
982.42,-73.429
983.40,-75.084
984.38,-74.883
985.35,-73.779
986.33,-74.971
987.30,-74.684
988.28,-74.512
989.26,-74.150
990.23,-74.719
991.21,-75.340
992.19,-76.108
993.16,-74.987
994.14,-75.005
995.12,-73.047
996.09,-74.943
997.07,-74.794
998.05,-74.643
999.02,-74.473
1000.00,-74.739
1000.98,-74.980
1001.95,-75.038
1002.93,-75.455
1003.91,-73.646
1004.88,-74.159
1005.86,-75.109
1006.84,-75.377
1007.81,-74.689
1008.79,-74.505
1009.77,-74.943
1010.74,-75.005
1011.72,-75.029
1012.70,-73.793
1013.67,-74.671
1014.65,-75.618
1015.62,-75.557
1016.60,-75.133
1017.58,-74.793
1018.55,-74.262
1019.53,-75.021
1020.51,-74.778
1021.48,-75.876
1022.46,-75.044
1023.44,-75.150
1024.41,-76.085
1025.39,-74.642
1026.37,-75.423
1027.34,-75.104
1028.32,-75.327
1029.30,-76.376
1030.27,-74.339
1031.25,-75.442
1032.23,-75.296
1033.20,-75.203
1034.18,-75.476
1035.16,-76.043
1036.13,-75.017
1037.11,-76.453
1038.09,-77.226
1039.06,-76.518
1040.04,-75.456
1041.02,-74.980
1041.99,-74.490
1042.97,-74.725
1043.95,-75.288
1044.92,-75.669
1045.90,-77.242
1046.88,-76.254
1047.85,-75.212
1048.83,-76.082
1049.80,-76.429
1050.78,-75.764
1051.76,-75.926
1052.73,-75.192
1053.71,-75.281
1054.69,-75.833
1055.66,-76.635
1056.64,-75.598
1057.62,-76.245
1058.59,-77.187
1059.57,-76.360
1060.55,-76.319
1061.52,-76.655
1062.50,-76.674
1063.48,-76.922
1064.45,-76.046
1065.43,-75.602
1066.41,-75.416
1067.38,-75.012
1068.36,-76.504
1069.34,-75.489
1070.31,-75.665
1071.29,-75.875
1072.27,-75.327
1073.24,-75.416
1074.22,-75.072
1075.20,-75.105
1076.17,-76.268
1077.15,-75.390
1078.12,-76.247
1079.10,-77.159
1080.08,-76.462
1081.05,-77.324
1082.03,-78.457
1083.01,-75.754
1083.98,-76.192
1084.96,-76.549
1085.94,-75.927
1086.91,-76.197
1087.89,-76.485
1088.87,-77.427
1089.84,-77.306
1090.82,-75.959
1091.80,-76.245
1092.77,-75.522
1093.75,-75.673
1094.73,-75.689
1095.70,-76.426
1096.68,-75.554
1097.66,-77.022
1098.63,-76.460
1099.61,-76.711
1100.59,-76.897
1101.56,-76.589
1102.54,-76.263
1103.52,-75.533
1104.49,-76.493
1105.47,-76.214
1106.45,-74.805
1107.42,-75.157
1108.40,-76.614
1109.38,-77.406
1110.35,-77.179
1111.33,-76.969
1112.30,-75.862
1113.28,-75.554
1114.26,-77.376
1115.23,-76.876
1116.21,-76.679
1117.19,-75.975
1118.16,-76.920
1119.14,-76.981
1120.12,-75.799
1121.09,-77.253
1122.07,-75.985
1123.05,-75.230
1124.02,-75.198
1125.00,-76.084
1125.98,-76.725
1126.95,-76.013
1127.93,-76.611
1128.91,-77.109
1129.88,-76.075
1130.86,-75.020
1131.84,-74.997
1132.81,-75.040
1133.79,-76.218
1134.77,-76.891
1135.74,-75.831
1136.72,-76.419
1137.70,-76.215
1138.67,-75.839
1139.65,-76.486
1140.62,-76.378
1141.60,-75.510
1142.58,-75.974
1143.55,-76.562
1144.53,-77.114
1145.51,-76.441
1146.48,-76.689
1147.46,-77.387
1148.44,-75.483
1149.41,-76.611
1150.39,-75.558
1151.37,-76.338
1152.34,-76.721
1153.32,-75.507
1154.30,-76.357
1155.27,-75.606
1156.25,-77.093
1157.23,-76.703
1158.20,-76.217
1159.18,-75.633
1160.16,-76.078
1161.13,-76.656
1162.11,-75.927
1163.09,-75.747
1164.06,-76.966
1165.04,-76.632
1166.02,-74.951
1166.99,-76.015
1167.97,-77.083
1168.95,-75.480
1169.92,-76.583
1170.90,-75.524
1171.88,-76.368
1172.85,-75.124
1173.83,-74.763
1174.80,-75.788
1175.78,-76.361
1176.76,-76.159
1177.73,-76.214
1178.71,-76.364
1179.69,-75.187
1180.66,-75.714
1181.64,-76.911
1182.62,-76.608
1183.59,-76.007
1184.57,-75.622
1185.55,-75.925
1186.52,-76.755
1187.50,-76.094
1188.48,-76.637
1189.45,-75.791
1190.43,-75.529
1191.41,-75.871
1192.38,-75.223
1193.36,-76.032
1194.34,-76.237
1195.31,-75.296
1196.29,-74.962
1197.27,-75.994
1198.24,-76.375
1199.22,-76.007
1200.20,-76.263
1201.17,-74.965
1202.15,-75.277
1203.12,-75.843
1204.10,-75.540
1205.08,-76.077
1206.05,-74.455
1207.03,-75.525
1208.01,-74.435
1208.98,-75.207
1209.96,-76.118
1210.94,-74.434
1211.91,-75.036
1212.89,-74.655
1213.87,-75.175
1214.84,-74.286
1215.82,-76.214
1216.80,-74.600
1217.77,-75.564
1218.75,-74.570
1219.73,-74.949
1220.70,-75.451
1221.68,-75.269
1222.66,-74.926
1223.63,-74.957
1224.61,-74.289
1225.59,-75.716
1226.56,-74.582
1227.54,-75.892
1228.52,-74.934
1229.49,-74.630
1230.47,-74.984
1231.45,-73.538
1232.42,-75.362
1233.40,-74.774
1234.38,-74.483
1235.35,-75.724
1236.33,-75.409
1237.30,-75.295
1238.28,-73.992
1239.26,-76.044
1240.23,-75.623
1241.21,-74.841
1242.19,-75.292
1243.16,-74.118
1244.14,-74.811
1245.12,-75.204
1246.09,-74.369
1247.07,-74.372
1248.05,-74.007
1249.02,-75.265
1250.00,-74.230
1250.98,-73.362
1251.95,-73.673
1252.93,-74.669
1253.91,-74.522
1254.88,-74.390
1255.86,-75.458
1256.84,-75.165
1257.81,-73.881
1258.79,-73.843
1259.77,-74.505
1260.74,-74.814
1261.72,-73.526
1262.70,-73.537
1263.67,-73.810
1264.65,-74.139
1265.62,-73.782
1266.60,-73.837
1267.58,-74.602
1268.55,-74.872
1269.53,-75.080
1270.51,-75.724
1271.48,-73.819
1272.46,-73.389
1273.44,-74.088
1274.41,-74.625
1275.39,-74.467
1276.37,-74.184
1277.34,-76.119
1278.32,-74.207
1279.30,-74.174
1280.27,-72.999
1281.25,-75.836
1282.23,-73.593
1283.20,-74.222
1284.18,-72.924
1285.16,-73.126
1286.13,-74.353
1287.11,-74.250
1288.09,-73.287
1289.06,-74.663
1290.04,-73.533
1291.02,-73.627
1291.99,-73.671
1292.97,-72.954
1293.95,-72.540
1294.92,-73.448
1295.90,-73.650
1296.88,-72.758
1297.85,-73.216
1298.83,-72.972
1299.80,-73.357
1300.78,-74.252
1301.76,-72.940
1302.73,-71.651
1303.71,-72.355
1304.69,-73.730
1305.66,-72.423
1306.64,-71.647
1307.62,-73.788
1308.59,-72.729
1309.57,-72.403
1310.55,-72.737
1311.52,-72.354
1312.50,-72.817
1313.48,-73.058
1314.45,-73.846
1315.43,-72.324
1316.41,-73.120
1317.38,-72.944
1318.36,-74.267
1319.34,-73.428
1320.31,-73.881
1321.29,-73.924
1322.27,-73.754
1323.24,-73.267
1324.22,-72.124
1325.20,-72.260
1326.17,-72.761
1327.15,-72.295
1328.12,-71.637
1329.10,-71.814
1330.08,-71.516
1331.05,-72.248
1332.03,-72.855
1333.01,-71.681
1333.98,-72.155
1334.96,-71.847
1335.94,-71.751
1336.91,-72.429
1337.89,-73.639
1338.87,-71.753
1339.84,-71.969
1340.82,-71.026
1341.80,-70.850
1342.77,-72.246
1343.75,-71.471
1344.73,-70.869
1345.70,-71.032
1346.68,-71.502
1347.66,-70.940
1348.63,-71.655
1349.61,-69.871
1350.59,-70.675
1351.56,-70.334
1352.54,-71.660
1353.52,-71.157
1354.49,-71.442
1355.47,-70.448
1356.45,-71.144
1357.42,-70.460
1358.40,-70.172
1359.38,-69.651
1360.35,-70.325
1361.33,-71.312
1362.30,-70.675
1363.28,-71.276
1364.26,-70.423
1365.23,-70.643
1366.21,-70.782
1367.19,-70.434
1368.16,-70.309
1369.14,-70.296
1370.12,-71.210
1371.09,-70.013
1372.07,-70.678
1373.05,-68.587
1374.02,-69.732
1375.00,-70.156
1375.98,-69.690
1376.95,-68.986
1377.93,-68.412
1378.91,-68.718
1379.88,-68.848
1380.86,-68.949
1381.84,-69.069
1382.81,-68.817
1383.79,-69.155
1384.77,-69.486
1385.74,-68.168
1386.72,-68.612
1387.70,-68.462
1388.67,-67.915
1389.65,-68.552
1390.62,-68.447
1391.60,-69.460
1392.58,-67.642
1393.55,-67.867
1394.53,-68.400
1395.51,-68.956
1396.48,-68.139
1397.46,-67.495
1398.44,-67.702
1399.41,-68.105
1400.39,-67.520
1401.37,-68.461
1402.34,-68.361
1403.32,-68.103
1404.30,-68.538
1405.27,-66.869
1406.25,-67.521
1407.23,-66.376
1408.20,-67.303
1409.18,-66.990
1410.16,-66.769
1411.13,-66.824
1412.11,-65.565
1413.09,-66.446
1414.06,-65.089
1415.04,-66.070
1416.02,-66.857
1416.99,-66.235
1417.97,-65.228
1418.95,-66.009
1419.92,-64.956
1420.90,-65.978
1421.88,-66.091
1422.85,-65.281
1423.83,-64.261
1424.80,-65.827
1425.78,-66.588
1426.76,-66.402
1427.73,-64.701
1428.71,-65.602
1429.69,-65.771
1430.66,-66.241
1431.64,-65.411
1432.62,-64.790
1433.59,-64.886
1434.57,-64.193
1435.55,-64.661
1436.52,-64.173
1437.50,-65.637
1438.48,-65.292
1439.45,-64.427
1440.43,-65.009
1441.41,-64.090
1442.38,-64.886
1443.36,-63.935
1444.34,-63.722
1445.31,-63.812
1446.29,-63.026
1447.27,-63.961
1448.24,-64.243
1449.22,-63.282
1450.20,-62.746
1451.17,-63.835
1452.15,-63.498
1453.12,-62.643
1454.10,-63.073
1455.08,-62.542
1456.05,-62.454
1457.03,-61.774
