Frequency (Hz),FFT Magnitude (dB)
1416.02,-56.466
1416.99,-56.625
1417.97,-56.467
1418.95,-57.719
1419.92,-56.409
1420.90,-56.689
1421.88,-56.916
1422.85,-57.775
1423.83,-57.307
1424.80,-58.556
1425.78,-60.217
1426.76,-57.802
1427.73,-59.512
1428.71,-59.359
1429.69,-59.738
1430.66,-59.450
1431.64,-59.657
1432.62,-60.346
1433.59,-58.575
1434.57,-60.224
1435.55,-60.677
1436.52,-59.160
1437.50,-59.162
1438.48,-60.327
1439.45,-59.229
1440.43,-60.123
1441.41,-58.879
1442.38,-60.226
1443.36,-60.960
1444.34,-61.312
1445.31,-60.431
1446.29,-60.749
1447.27,-59.418
1448.24,-60.010
1449.22,-61.400
1450.20,-61.256
1451.17,-61.209
1452.15,-62.185
1453.12,-62.248
1454.10,-61.989
1455.08,-62.616
1456.05,-61.306
1457.03,-61.135
