Frequency (Hz),FFT Magnitude (dB)
1075.20,-68.213
1076.17,-68.586
1077.15,-69.725
1078.12,-68.704
1079.10,-69.447
1080.08,-68.296
1081.05,-68.856
1082.03,-69.289
1083.01,-69.889
1083.98,-68.151
1084.96,-68.703
1085.94,-69.100
1086.91,-68.350
1087.89,-68.725
1088.87,-69.303
1089.84,-69.977
1090.82,-68.524
1091.80,-69.200
1092.77,-69.757
1093.75,-69.189
1094.73,-68.803
1095.70,-69.982
1096.68,-69.368
1097.66,-69.600
1098.63,-69.986
1099.61,-69.934
1100.59,-70.452
1101.56,-68.753
1102.54,-69.352
1103.52,-69.473
1104.49,-70.435
1105.47,-68.926
1106.45,-69.828
1107.42,-69.021
1108.40,-70.542
1109.38,-69.666
1110.35,-68.681
1111.33,-69.446
1112.30,-70.478
1113.28,-69.895
1114.26,-69.513
1115.23,-70.055
1116.21,-69.309
1117.19,-69.994
1118.16,-70.550
1119.14,-70.406
1120.12,-70.468
1121.09,-69.539
1122.07,-69.624
1123.05,-69.531
1124.02,-70.099
1125.00,-70.904
1125.98,-69.506
1126.95,-70.095
1127.93,-70.797
1128.91,-71.093
1129.88,-70.815
1130.86,-68.781
1131.84,-69.363
1132.81,-69.797
1133.79,-70.925
1134.77,-70.603
1135.74,-69.652
1136.72,-70.258
1137.70,-70.376
1138.67,-70.459
1139.65,-71.001
1140.62,-70.516
1141.60,-69.891
1142.58,-70.184
1143.55,-69.125
1144.53,-69.961
1145.51,-69.998
1146.48,-70.338
1147.46,-71.568
1148.44,-70.306
1149.41,-70.253
1150.39,-70.733
1151.37,-70.493
1152.34,-69.778
1153.32,-71.069
1154.30,-71.002
1155.27,-70.294
1156.25,-69.964
1157.23,-70.281
1158.20,-70.430
1159.18,-70.527
1160.16,-70.045
1161.13,-70.304
1162.11,-69.577
1163.09,-70.348
1164.06,-70.801
1165.04,-70.885
1166.02,-70.715
1166.99,-70.290
1167.97,-70.176
1168.95,-69.879
1169.92,-69.957
1170.90,-70.180
1171.88,-70.892
1172.85,-70.359
1173.83,-69.604
1174.80,-70.288
1175.78,-70.417
1176.76,-70.822
1177.73,-70.201
1178.71,-69.633
1179.69,-70.354
1180.66,-71.396
1181.64,-71.029
1182.62,-69.077
1183.59,-69.675
1184.57,-70.049
1185.55,-70.252
