Frequency (Hz),FFT Magnitude (dB)
930.66,-72.154
931.64,-72.564
932.62,-72.137
933.59,-71.348
934.57,-71.308
935.55,-72.449
936.52,-72.124
937.50,-72.683
938.48,-71.584
939.45,-71.554
940.43,-71.241
941.41,-71.307
942.38,-71.329
943.36,-71.060
944.34,-72.161
945.31,-70.894
946.29,-71.272
947.27,-72.071
948.24,-72.635
949.22,-71.688
950.20,-70.914
951.17,-71.531
952.15,-71.435
953.12,-70.529
954.10,-71.701
955.08,-70.971
956.05,-70.946
957.03,-71.203
958.01,-71.683
958.98,-71.954
959.96,-71.605
960.94,-71.174
961.91,-72.183
962.89,-70.734
963.87,-70.901
964.84,-72.237
965.82,-70.643
966.80,-72.497
967.77,-70.311
968.75,-70.459
969.73,-69.984
970.70,-71.265
971.68,-70.611
972.66,-70.838
973.63,-70.436
974.61,-70.192
975.59,-69.227
976.56,-70.063
977.54,-71.392
978.52,-71.487
979.49,-70.651
980.47,-71.377
981.45,-69.820
982.42,-69.175
983.40,-70.317
984.38,-70.269
985.35,-71.214
986.33,-69.033
987.30,-70.671
988.28,-70.103
989.26,-70.705
990.23,-69.627
991.21,-69.723
992.19,-69.900
993.16,-70.350
994.14,-69.360
995.12,-68.857
996.09,-69.788
997.07,-68.158
998.05,-69.114
999.02,-69.760
1000.00,-69.410
1000.98,-68.657
1001.95,-69.672
1002.93,-68.456
1003.91,-68.156
1004.88,-67.629
1005.86,-68.777
1006.84,-68.730
1007.81,-68.763
1008.79,-68.647
1009.77,-69.195
1010.74,-69.454
1011.72,-68.255
1012.70,-67.659
1013.67,-68.721
1014.65,-68.139
1015.62,-68.071
1016.60,-67.511
1017.58,-67.742
1018.55,-67.823
1019.53,-67.576
1020.51,-67.533
1021.48,-68.964
1022.46,-67.578
1023.44,-67.626
1024.41,-67.350
1025.39,-66.991
1026.37,-66.927
1027.34,-67.624
1028.32,-67.008
1029.30,-66.418
1030.27,-68.242
1031.25,-67.144
1032.23,-68.549
1033.20,-66.514
1034.18,-66.743
1035.16,-66.243
1036.13,-65.831
1037.11,-65.186
1038.09,-66.303
1039.06,-65.719
1040.04,-66.776
1041.02,-66.453
1041.99,-65.180
1042.97,-66.912
1043.95,-67.385
1044.92,-66.619
1045.90,-65.989
1046.88,-66.315
1047.85,-64.498
1048.83,-65.670
1049.80,-65.834
1050.78,-66.343
1051.76,-66.499
1052.73,-65.524
1053.71,-65.193
1054.69,-65.270
1055.66,-64.350
1056.64,-64.718
1057.62,-64.341
1058.59,-64.687
1059.57,-63.871
1060.55,-64.899
1061.52,-64.629
1062.50,-64.707
1063.48,-63.549
1064.45,-62.994
1065.43,-62.883
1066.41,-62.488
1067.38,-62.074
1068.36,-62.550
1069.34,-62.472
1070.31,-62.063
1071.29,-61.333
1072.27,-62.989
1073.24,-62.233
1074.22,-62.841
1075.20,-62.503
1076.17,-61.546
1077.15,-61.553
1078.12,-61.804
1079.10,-61.872
1080.08,-60.687
1081.05,-61.674
1082.03,-61.550
1083.01,-61.291
1083.98,-61.856
1084.96,-60.462
1085.94,-60.724
1086.91,-61.228
1087.89,-60.000
1088.87,-60.877
1089.84,-59.499
1090.82,-61.173
1091.80,-60.162
1092.77,-59.697
1093.75,-59.840
1094.73,-59.995
1095.70,-59.227
1096.68,-59.701
1097.66,-58.173
1098.63,-58.146
1099.61,-58.455
1100.59,-58.791
1101.56,-58.349
1102.54,-57.362
1103.52,-57.035
1104.49,-57.440
1105.47,-58.804
1106.45,-57.571
1107.42,-57.612
1108.40,-58.449
1109.38,-57.564
1110.35,-58.848
1111.33,-59.345
1112.30,-57.985
1113.28,-57.948
1114.26,-57.635
1115.23,-58.436
1116.21,-57.943
1117.19,-57.347
1118.16,-57.117
1119.14,-57.617
1120.12,-57.790
1121.09,-58.432
1122.07,-57.186
1123.05,-58.044
1124.02,-56.332
1125.00,-56.883
1125.98,-57.948
1126.95,-57.601
1127.93,-57.921
1128.91,-57.419
1129.88,-57.496
1130.86,-57.045
1131.84,-58.604
1132.81,-57.747
1133.79,-57.690
1134.77,-59.238
1135.74,-58.385
1136.72,-57.541
1137.70,-58.591
1138.67,-59.626
1139.65,-58.184
1140.62,-58.538
1141.60,-57.723
1142.58,-59.103
1143.55,-58.755
1144.53,-58.682
1145.51,-60.003
1146.48,-58.982
1147.46,-59.538
1148.44,-59.446
1149.41,-59.109
1150.39,-59.809
1151.37,-59.911
1152.34,-60.764
1153.32,-60.026
1154.30,-60.887
1155.27,-60.962
1156.25,-60.267
1157.23,-59.990
1158.20,-59.357
1159.18,-60.602
1160.16,-60.666
1161.13,-60.820
1162.11,-60.646
1163.09,-60.846
1164.06,-60.667
1165.04,-61.936
1166.02,-62.138
1166.99,-60.839
1167.97,-61.379
1168.95,-62.872
1169.92,-62.746
1170.90,-62.716
1171.88,-62.680
1172.85,-64.891
1173.83,-62.386
1174.80,-61.015
1175.78,-62.546
1176.76,-63.210
1177.73,-63.410
1178.71,-65.268
1179.69,-64.256
1180.66,-63.843
1181.64,-65.840
1182.62,-63.708
1183.59,-63.073
1184.57,-63.762
1185.55,-63.877
1186.52,-64.147
1187.50,-64.490
1188.48,-65.115
1189.45,-64.568
1190.43,-65.197
1191.41,-64.959
1192.38,-64.207
1193.36,-64.794
1194.34,-64.692
1195.31,-65.133
1196.29,-64.989
1197.27,-64.630
1198.24,-65.528
1199.22,-64.786
1200.20,-65.098
